step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,12.017784213181583,0.0003269141597581,6.938036167114251e-05,0.0007838650715328,0.0001352528032335,0.0009884982364375
0,env_List_Files,1.0130785359069705,1.0684924756556615e-05,5.237828771805607e-06,1.7177235967835713e-05,9.893200176561043e-06,3.230826491620237e-05
1,agent_llm_attempt_1,5.354723685188219,0.0001437282931751,3.348481975127823e-05,0.000326601372393,7.450851747287541e-05,0.0004345947096171
2,agent_llm_attempt_1,7.421750426059589,0.0002069274566218,4.449795678551171e-05,0.0004861476111415,9.50459778063103e-05,0.0006256915457333
2,env_Edit_Script_(AI),23.944314307998862,0.0006914395958067,0.0001336353844786,0.001717357484992,0.000239729727445,0.0020907225969157
3,agent_llm_attempt_1,15.441260178107768,0.0004154447178923,8.968065759860333e-05,0.001003732747442,0.00016277681711944752,0.0012561902221601
3,env_Edit_Script_(AI),23.394537760177627,0.0006965266609221,0.0001401791615017,0.0017178366520411,0.0002480886649618,0.0021061044785047
4,agent_llm_attempt_1,16.424364005215466,0.0004569552071928,9.429386177577857e-05,0.0010865411470035,0.00020087148192556213,0.0013817064907048
4,env_Execute_Script,1.0377158399205657,1.0553405956421752e-05,5.562216604546899e-06,1.5980568335294265e-05,1.0367803405582285e-05,3.191058834542345e-05
5,agent_llm_attempt_1,15.128761698724702,0.00042596944132389995,9.874545865565189e-05,0.0010130274770928,0.0001762411467142455,0.0012880140824628
5,env_Edit_Script_(AI),24.5366879531648,0.0007125009269916,0.0001318089995887,0.0017815975363859,0.0002409997164569,0.0021544062524316
6,agent_llm_attempt_1,7.962736837100238,0.0002186117065668,4.599145825620445e-05,0.0005290362565588,8.599377953020547e-05,0.0006610214943452
6,env_Execute_Script,1.038355884840712,1.0611802491356614e-05,5.756906118153284e-06,1.5951123870650008e-05,1.0379133368971655e-05,3.2087163357774945e-05
7,agent_llm_attempt_1,7.434396726079285,0.0002170015818571,5.349126810383055e-05,0.000507778461781,9.488319150793056e-05,0.0006561529213928
8,agent_llm_attempt_1,8.043834552867338,0.0002289130869029,5.1824900773469375e-05,0.0005430812678,9.72638581653074e-05,0.0006921700267387
9,agent_llm_attempt_1,8.29907244304195,0.0002325011453514,4.709829737165583e-05,0.0005539890543033,0.0001019319740085,0.0007030193256835
10,agent_llm_attempt_1,7.447521694004536,0.0002138589468423,4.348218669613597e-05,0.0005079704063746,9.519786696570617e-05,0.0006466504600364
11,agent_llm_attempt_1,7.852111828979105,0.0002186491278303,4.600656043723537e-05,0.000531133758244,8.399432724173596e-05,0.000661134645923
12,agent_llm_attempt_1,8.28942817589268,0.0002362048292701,5.514744109742303e-05,0.0005570432234094,0.0001020275796472,0.0007142182441541
13,agent_llm_attempt_1,7.423725066008046,0.000214910406052,4.41600758438539e-05,0.0005106662418725,9.500346491436682e-05,0.0006498297826307
14,agent_llm_attempt_1,7.421425200067459,0.0002152132487952,4.491473237745223e-05,0.0005107465197013,9.50842434650339e-05,0.0006507454955438
15,agent_llm_attempt_1,7.40612390707247,0.0002177560291987,5.233776832051242e-05,0.000511356797979,9.473959573208252e-05,0.0006584341620316
16,agent_llm_attempt_1,8.526995267020538,0.0002333623918876,4.639643360468845e-05,0.0005719899020419,8.723716197871708e-05,0.0007056234976253
17,agent_llm_attempt_1,7.652636209968477,0.0002160878416537,4.463599791917051e-05,0.0005287015340726,8.005249109054503e-05,0.0006533900230824
18,agent_llm_attempt_1,7.405219160020351,0.0002190042830332,5.42023551202154e-05,0.000513330410655,9.467577150790022e-05,0.0006622085372831
19,agent_llm_attempt_1,7.388017530087382,0.0002161199874747,4.343407420595492e-05,0.0005159412460855,9.411190288568228e-05,0.0006534872231771
20,agent_llm_attempt_1,8.272060820832849,0.0002340445186909,4.7285918854683705e-05,0.000558696002507,0.000101704139545,0.0007076860609067
21,agent_llm_attempt_1,8.04546555900015,0.0002272523960352,4.723159063613594e-05,0.0005426346007766,9.728236426081924e-05,0.0006871485556735
22,agent_llm_attempt_1,7.4226343219634145,0.000215972992178,4.4751787266762746e-05,0.0005132204105748,9.507055210868002e-05,0.0006530427499503
23,agent_llm_attempt_1,7.409773851046339,0.0002153175283094,4.318733048078215e-05,0.0005130334659781,9.484001156912804e-05,0.0006510608080281
24,agent_llm_attempt_1,8.264004060067236,0.0002339293697754,4.700396039837032e-05,0.0005590398916766,0.0001012940302762,0.0007073378823512
25,agent_llm_attempt_1,7.975291060050949,0.0002239168871097,4.725327099369887e-05,0.0005434221014084,8.63875244155578e-05,0.0006770628968177
26,agent_llm_attempt_1,7.414283382007852,0.0002156416356543,4.474329976295561e-05,0.0005123920765868,9.490544288095812e-05,0.0006520408192307
27,agent_llm_attempt_1,7.406430410919711,0.0002187427471371,5.327772511777664e-05,0.0005136723553818,9.44676443811558e-05,0.0006614177248807
28,agent_llm_attempt_1,8.153043759055436,0.0002313816002597,4.715792630143254e-05,0.0005530451646578,9.943103920539016e-05,0.0006996341301646
29,agent_llm_attempt_1,8.257875884883106,0.0002373012172154,5.454258862999997e-05,0.0005620298940627,0.000100960936158,0.0007175334188507
30,agent_llm_attempt_1,7.7590159738902,0.0002185217972496,4.472553324955174e-05,0.0005339515382729,8.207256184994348e-05,0.0006607496333724
31,agent_llm_attempt_1,7.386656481074169,0.0002191459528207,5.469467004778721e-05,0.0005136104108913,9.433182670036332e-05,0.0006626369076395
32,agent_llm_attempt_1,7.528530599083751,0.0002119263872202,4.2260918045802646e-05,0.0005208726389156,7.767337589434141e-05,0.0006408069328557
33,agent_llm_attempt_1,8.523390060057864,0.0002326600588243,4.645101571517438e-05,0.0005702907340108,8.675808646172908e-05,0.0007034998361877
34,agent_llm_attempt_1,7.398910687072203,0.0002154783186643,4.423788313487983e-05,0.0005127492990837,9.45598114870437e-05,0.0006515469937056
35,agent_llm_attempt_1,8.000361431855708,0.0002227632980047,4.692871724561456e-05,0.0005398151540632,8.683089028474773e-05,0.0006735747615935
36,agent_llm_attempt_1,8.177807851927355,0.0002340788236143,5.414222826580285e-05,0.0005539626653856,9.96848958803134e-05,0.0007077897895317
37,agent_llm_attempt_1,8.541936255060136,0.000235174880024,4.687241659555888e-05,0.0005768085170032,8.742302815727373e-05,0.000711103961756
38,agent_llm_attempt_1,7.412625611992553,0.0002164751294786,4.4876655675973e-05,0.0005147918007324,9.489261821921294e-05,0.0006545610746276
39,agent_llm_attempt_1,7.404580515110865,0.0002161036469013,4.349084775701413e-05,0.0005155665235605,9.438044247346828e-05,0.000653437813791
40,agent_llm_attempt_1,8.516292324988171,0.0002395316473626,4.622569997253837e-05,0.0005718268463468,0.000106225078009,0.0007242776243284
41,agent_llm_attempt_1,8.258327006129548,0.0002353428922437,4.7026857964106674e-05,0.0005631568394122,0.0001014282869841,0.0007116119843604
42,agent_llm_attempt_1,7.414682643022388,0.0002163544562404,4.488228327290246e-05,0.0005143943004028,9.491960836846071e-05,0.0006541961920442
43,agent_llm_attempt_1,8.027489185100421,0.0002278344182442,4.765739261635432e-05,0.0005443559910389,9.689504662140585e-05,0.0006889084302767
44,agent_llm_attempt_1,8.267157305963337,0.000236519534799,5.491845160498661e-05,0.0005586915580693,0.0001015598171843,0.0007151698268586
45,agent_llm_attempt_1,8.26171578001231,0.0002331626423812,4.721480739792753e-05,0.000556340167293,0.00010146453553,0.000705019510221
46,agent_llm_attempt_1,8.04301210702397,0.0002266490970147,4.7202623200876375e-05,0.0005412907107995,9.683101186140752e-05,0.0006853243458618
47,agent_llm_attempt_1,7.434577643172815,0.0002153489309451,4.3879279430047065e-05,0.0005122990209471,9.497746055842276e-05,0.0006511557609356
48,agent_llm_attempt_1,8.265675854869187,0.0002333245868039,4.721736108361087e-05,0.0005567837787552,0.0001015080456421,0.0007055091854809
49,agent_llm_attempt_1,8.079068802064285,0.0002296387005176,4.742809462755535e-05,0.0005489476613718,9.798832614194708e-05,0.0006943640821413
